,region,purchase,avg_capacity,pop_type,pop_vechicle,avg_prod_year
0,Zaporizhzhya,52814,2.01,БЕНЗИН,DAEWOO  LANOS,2004
1,Volyn’,33604,2.72,ДИЗЕЛЬНЕ ПАЛИВО,VOLKSWAGEN  PASSAT,2005
2,Ternopil’,28817,2.37,ДИЗЕЛЬНЕ ПАЛИВО,DAEWOO  LANOS,2004
3,Poltava,43880,2.05,БЕНЗИН АБО ГАЗ,DAEWOO  LANOS,2003
4,Transcarpathia,21132,2.73,ДИЗЕЛЬНЕ ПАЛИВО,SKODA  OCTAVIA,2006
5,Cherkasy,36448,2.2,БЕНЗИН,DAEWOO  LANOS,2003
6,Kirovohrad,24913,2.19,БЕНЗИН АБО ГАЗ,DAEWOO  LANOS,2002
7,Donets’k,47630,1.85,БЕНЗИН,ЗАЗ-DAEWOO  LANOS,2003
8,L’viv,68615,2.29,ДИЗЕЛЬНЕ ПАЛИВО,VOLKSWAGEN  PASSAT,2005
9,Kmel’nyts’kyy,38496,2.36,ДИЗЕЛЬНЕ ПАЛИВО,VOLKSWAGEN  PASSAT,2003
10,Rivne,37549,2.3,ДИЗЕЛЬНЕ ПАЛИВО,VOLKSWAGEN  PASSAT,2004
11,Odessa,80025,2.43,БЕНЗИН,TOYOTA  CAMRY,2004
12,Kharkiv,75645,2.16,БЕНЗИН АБО ГАЗ,DAEWOO  LANOS,2005
13,Ivano-Frankivs’k,32655,2.16,ДИЗЕЛЬНЕ ПАЛИВО,RENAULT  MEGANE,2005
14,Dnipropetrovs’k,92005,2.22,БЕНЗИН,DAEWOO  LANOS,2005
15,Kherson,23148,2.16,БЕНЗИН,DAEWOO  LANOS,2004
16,Mukolayiv,30796,2.54,БЕНЗИН,DAEWOO  LANOS,2003
17,Vinnytsya,47502,2.42,БЕНЗИН,VOLKSWAGEN  PASSAT,2004
18,Kiev,244113,2.23,БЕНЗИН,DAEWOO  LANOS,2007
19,Zhytomyr,32355,2.18,БЕНЗИН АБО ГАЗ,VOLKSWAGEN  PASSAT,2004
20,Chernihiv,24622,2.16,БЕНЗИН АБО ГАЗ,DAEWOO  LANOS,2003
21,Chernivtsi,22666,2.93,ДИЗЕЛЬНЕ ПАЛИВО,VOLKSWAGEN  TRANSPORTER,2004
22,Sumy,27768,1.99,БЕНЗИН,ВАЗ  21099,2003
23,Luhans’k,16048,2.02,БЕНЗИН,ВАЗ  21063,2001
